AGNO;DEN_ID;DEN_CANAL;DEN_ESTADO;DEN_FEC_CREACION;DEN_MES_CREACION;DEN_TRIMESTRE_CREACION;DEN_FEC_TERMINO_DENUNCIA;DEN_OFICINA;DEN_DEPARTAMENTO;DEN_AMBITO;DEN_TEMA;DEN_SUBTEMA;DEN_MRUN;DEN_AFECTADO;DEN_SEXO;DEN_TIPO;AFEC_MRUN;RBD;EE_NOMBRE;EE_COD_REGION;EE_COD_PROVINCIA;EE_COD_COMUNA;EE_NOM_COMUNA;EE_COD_DEPE;EE_DEPE_AGRUP;AFEC_COD_ENSE2;DEN_REGION
2014;CAS-10991-G9Q6L8;1;1;20140130;1;1;20140130;1;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;11680980;0;2;PADRE/MADRE/TUTOR;177521;12655;COLEGIO SAN PEDRO;1;11;1107;ALTO HOSPICIO;3;3;2;1
2014;CAS-10992-Y3C6T9;1;1;20140130;1;1;20140314;8;1;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO DE ADULTO A PÁRVULO Y/O ESTUDIANTE;22312953;0;1;APODERADO/A;5515097;12062;LICEO MAURICIO HOCHSCHILD;8;81;8108;SAN PEDRO DE LA PAZ;3;3;7;8
2014;CAS-10993-G6S4R5;1;1;20140130;1;1;20140130;1;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;5150710;0;2;PADRE/MADRE/TUTOR;5150710;12619;JARDIN INFANTIL HAPPY DAY;1;11;1101;IQUIQUE;3;3;1;1
2014;CAS-10997-L1L5V6;1;1;20140130;1;1;20140130;1;1;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO DE ADULTO A PÁRVULO Y/O ESTUDIANTE;20027290;0;2;PADRE/MADRE/TUTOR;301370;12518;COLEGIO DIOCESANO OBISPO LABBE;1;11;1101;IQUIQUE;3;3;2;1
2014;CAS-10998-S3P1B8;1;1;20140130;1;1;20140130;1;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;SUSPENSIÓN DE CLASES A PÁRVULO Y/O ESTUDIANTE;13076999;0;2;PADRE/MADRE/TUTOR;17558962;12632;COLEGIO SIMON BOLIVAR;1;11;1107;ALTO HOSPICIO;2;1;2;1
2014;CAS-10999-N4M6M0;1;1;20140130;1;1;20140317;10;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;21576031;0;1;PADRE/MADRE/TUTOR;1666943;7699;COLEGIO SALESIANO PADRE JOSE FERNANDEZ PEREZ;10;101;10101;PUERTO MONTT;3;3;2;10
2014;CAS-11000-K7J3G1;1;1;20140130;1;1;20140130;1;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO PERMITIR EL INGRESO O PERMANENCIA EN EL ESTABLECIMIENTO DE PÁRVULOS Y/O ESTUDIANTES;21792881;0;2;PADRE/MADRE/TUTOR;12409809;106;INSTITUTO DEL MAR ALMIRANTE CARLOS CONDEL;1;11;1101;IQUIQUE;5;5;5;1
2014;CAS-11002-B0N2V0;1;1;20140130;1;1;20140331;10;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;3490942;0;2; ;5734387;7334;ESCUELA EFRAIN CAMPANA SILVA;10;103;10301;OSORNO;2;1;2;10
2014;CAS-11003-V1M2V8;1;1;20140130;1;1;20140325;8;1;CONVIVENCIA;DISCRIMINACIÓN;DISCRIMINACIÓN POR NECESIDADES EDUCATIVAS ESPECIALES PERMANENTES Y/O TRANSITORIAS (TDA, DISCAPACIDAD FÍSICA Y/O INTELECTUAL, U OTRAS);8595913;0;2; ;10706015;4970;ESCUELA PADRE FRANCISCO DE CROZE;8;81;8106;LOTA;3;3;2;8
2014;CAS-11004-R9G9K5;1;1;20140130;1;1;20140130;1;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;11007162;0;2;PADRE/MADRE/TUTOR;9859422;107;LICEO LIBERT. GRAL.BERNARDO O´HIGGINS;1;11;1101;IQUIQUE;1;1;5;1
2014;CAS-11005-Y7G3L6;1;1;20140130;1;1;20140130;1;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;EXPULSIÓN DE PÁRVULO Y/O ESTUDIANTE;11646798;0;2;PADRE/MADRE/TUTOR;15452423;12504;COLEGIO LITTLE COLLEGE;1;11;1101;IQUIQUE;3;3;7;1
2014;CAS-11006-L6R1C1;1;1;20140130;1;1;20140130;1;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;EXPULSIÓN DE PÁRVULO Y/O ESTUDIANTE;6606518;0;2;PADRE/MADRE/TUTOR;3883166;12649;LICEO SUPERIOR DIEGO PORTALES;1;11;1107;ALTO HOSPICIO;3;3;2;1
2014;CAS-11008-B3N6G1;2;1;20140130;1;1;20140312;7;1;CONVIVENCIA;RETENCIÓN DE DOCUMENTOS;RETENCIÓN DE DOCUMENTOS POR OTRAS CAUSALES;5597710;1;2;ESTUDIANTE;5597710; ;OTRO; ; ; ; ;99;9;6;7
2014;CAS-11010-W5C4L5;1;1;20140130;1;1;20140317;13;1;CONVIVENCIA;RETENCIÓN DE DOCUMENTOS;RETENCIÓN DE DOCUMENTOS POR DEUDA;7746683;0;2; ;19176315;25790;COLEGIO POLIV. DIEGO PORTALES DE MAIPU;13;131;13119;MAIPÚ;3;3;2;13
2014;CAS-11014-J2N4Q0;2;1;20140130;1;1;20140325;13;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;810198;0;1;ESTUDIANTE;4793368;24671;COLEGIO LA ABADIA;13;131;13113;LA REINA;4;4;5;13
2014;CAS-11015-P9Z8N0;1;1;20140130;1;1;20140325;13;1;CONVIVENCIA;RETENCIÓN DE DOCUMENTOS;RETENCIÓN DE DOCUMENTOS POR DEUDA;4130027;0;2;APODERADO/A;2146334; ;OTRO; ; ; ; ;99;9;7;13
2014;CAS-11018-X1Q4S8;1;1;20140130;1;1;20140306;0;1;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO DE ADULTO A PÁRVULO Y/O ESTUDIANTE;8629907;1;2;PADRE/MADRE/TUTOR;8629907;9992;ESCUELA DIEGO PORTALES;13;131;13126;QUINTA NORMAL;1;1;2;13
