AGNO;DEN_ID;DEN_CANAL;DEN_ESTADO;DEN_FEC_CREACION;DEN_MES_CREACION;DEN_TRIMESTRE_CREACION;DEN_FEC_TERMINO_DENUNCIA;DEN_OFICINA;DEN_DEPARTAMENTO;DEN_AMBITO;DEN_TEMA;DEN_SUBTEMA;FIS_ID;FIS_ID_SEGUIMIENTO;PA_ID;DEN_MRUN;DEN_AFECTADO;DEN_SEXO;DEN_TIPO;AFEC_MRUN;AFEC_SEXO;RBD;EE_NOMBRE;EE_COD_REGION;EE_COD_PROVINCIA;EE_COD_COMUNA;EE_NOM_COMUNA;EE_COD_DEPE;EE_DEPE_AGRUP;AFEC_COD_ENSE2;DEN_REGION;DEN_CIBERBULLYING
2016;CAS-50636-V6H6D5;2;1;20160104;1;1;20160112;13;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE; ; ; ;12328808;0;1;APODERADO/A;7736350;1;9185;LICEO SALESIANO CAMILO ORTUZAR MONTT;13;131;13118;MACUL;3;3;2;13; 
2016;CAS-50637-Y0C1R1;2;1;20160104;1;1;20160224;14;1;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO DE ADULTO A PÁRVULO Y/O ESTUDIANTE; ; ; ;18926578;0;2;PADRE/MADRE/TUTOR;7009276;1;22321;ESCUELA DE LENGUAJE FOR FARIS;14;142;14201;LA UNIÓN;3;3;1;14; 
2016;CAS-50638-N4Z6X7;2;1;20160104;1;1;20160106;0;1;CONVIVENCIA;DISCRIMINACIÓN;DISCRIMINACIÓN POR NECESIDADES EDUCATIVAS ESPECIALES PERMANENTES Y/O TRANSITORIAS (TDA, DISCAPACIDAD FÍSICA Y/O INTELECTUAL, U OTRAS); ; ; ;3762719;0;2;APODERADO/A;15414668;1;25700;COLEGIO LOS ALPES MAIPU;13;131;13119;MAIPÚ;3;3;5;13; 
2016;CAS-50639-V3J9Z9;2;1;20160104;1;1;20160106;13;2;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE; ; ; ;18420828;0;2;APODERADO/A;19199554;2;9140;ESCUELA PARTICULAR SANTA VICTORIA;13;131;13122;PEÑALOLÉN;3;3;2;13; 
2016;CAS-50640-X7L9W5;2;1;20160104;1;1;20160112;0;1;CONVIVENCIA;DISCRIMINACIÓN;DISCRIMINACIÓN POR PROBLEMAS DE SALUD; ; ; ;3762719;0;2;APODERADO/A;15414668;1;25700;COLEGIO LOS ALPES MAIPU;13;131;13119;MAIPÚ;3;3;5;13; 
2016;CAS-50642-D0Y1H3;2;1;20160104;1;1;20160111;6;1;GESTIÓN DE RECURSOS FINANCIEROS;COBROS EN ESTABLECIMIENTOS SUBVENCIONADOS O QUE RECIBEN APORTES DEL ESTADO;IRREGULARIDADES EN EL COBRO DE MENSUALIDADES Y/O COLEGIATURA; ; ; ;2169718;1;2;APODERADO/A;2169718;2;2309;CENTRO EDUCACIONAL ASUNCION;6;61;6115;RENGO;3;3;2;6; 
2016;CAS-50643-K7K8S3;2;1;20160104;1;1;20160114;5;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE; ; ; ;5717159;0;2;ESTUDIANTE;20685675;1;14565;VERDOYHAM SCHOOL;5;57;5703;LLAILLAY;3;3;2;5; 
2016;CAS-50645-N1M7J2;2;1;20160104;1;1;20160315;5;2;GESTIÓN DE RECURSOS FINANCIEROS;OBLIGACIONES PREVISIONALES Y/O PAGO DE REMUNERACIONES DE PERSONAL DEL ESTABLECIMIENTO;INCUMPLIMIENTO DE OBLIGACIONES PREVISIONALES Y/O PAGO DE REMUNERACIONES DE PERSONAL DEL ESTABLECIMIENTO;160500499; ; ;3938034;1;1;DOCENTE;3938034;2;14381;COLEGIO EL VALLE DE CASABLANCA;5;51;5102;CASABLANCA;3;3;5;5; 
2016;CAS-50646-T1F4D1;2;1;20160105;1;1;20160105;0;1;ADMISIÓN;PROCESO DE ADMISIÓN;ESTABLECIMIENTO NO PERMITE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE SELECCIONADO EN PROCESO DE ADMISIÓN; ; ; ;16683485;1;2;APODERADO/A;16683485;2;26423;COLEGIO SCHOOL TIME;13;134;13401;SAN BERNARDO;3;3;2;13; 
2016;CAS-50647-Q3H3X6;2;1;20160105;1;1;20160426;13;3;GESTIÓN TÉCNICO-PEDAGÓGICA;JORNADA EDUCATIVA (HORAS DE CLASES O ACTIVIDADES Y HORAS NO LECTIVAS);INCUMPLIMIENTO DE HORAS DE CLASES O ACTIVIDADES;161300059; ;161300059;23717984;1;2;APODERADO/A;23717984;2;8530;ESCUELA CADETE ARTURO PRAT CHACON;13;131;13101;SANTIAGO;2;1;2;13; 
