AGNO;DEN_ID;DEN_CANAL;DEN_ESTADO;DEN_FEC_CREACION;DEN_MES_CREACION;DEN_TRIMESTRE_CREACION;DEN_FEC_TERMINO_DENUNCIA;DEN_OFICINA;DEN_DEPARTAMENTO;DEN_AMBITO;DEN_TEMA;DEN_SUBTEMA;DEN_MRUN;DEN_AFECTADO;DEN_SEXO;DEN_TIPO;AFEC_MRUN;AFEC_SEXO;RBD;EE_NOMBRE;EE_COD_REGION;EE_COD_PROVINCIA;EE_COD_COMUNA;EE_NOM_COMUNA;EE_COD_DEPE;EE_DEPE_AGRUP;AFEC_COD_ENSE2;DEN_REGION
2015;CAS-30831-L8C4P3;1;1;20150105;1;1;20150126;4;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;9999279;0;2;PADRE/MADRE/TUTOR;23163;0;1036;COLEGIO PARTICULAR SAN FRANCISCO DE ASIS;4;42;4204;SALAMANCA;3;3;2;4
2015;CAS-30833-M4C1D9;1;1;20150106;1;1;20150119;13;1;CONVIVENCIA;RETENCIÓN DE DOCUMENTOS;RETENCIÓN DE DOCUMENTOS POR DEUDA;18832731;0;2;APODERADO/A;23550996;0;10332;ESCUELA PARTICULAR EL CARMEN;13;131;13104;CONCHALÍ;3;3;2;13
2015;CAS-30834-C1X0N0;1;1;20150106;1;1;20150325;4;1;ADMISIÓN;PROCESO DE ADMISIÓN;ESTABLECIMIENTO NO INFORMA O NO PUBLICA EL PROCEDIMIENTO DE SELECCIÓN, LOS RESULTADOS O EL REGISTRO PÚBLICO DE PÁRVULOS Y/O ESTUDIANTES ADMITIDOS (MEDIOS ELECTRÓNICOS, FOLLETOS O MURALES PÚBLICOS);18166457;0;2;PADRE/MADRE/TUTOR;6899176;0;11130;COLEGIO SAN IGNACIO DE LOYOLA;4;42;4201;ILLAPEL;3;3;2;4
2015;CAS-30835-F4V2T6;1;1;20150106;1;1;20150108;13;2;CONVIVENCIA;RETENCIÓN DE DOCUMENTOS;RETENCIÓN DE DOCUMENTOS POR DEUDA;18900616;0;2;APODERADO/A;3085772;0; ;OTRO;6;61;6101;RANCAGUA;99;9;5;6
2015;CAS-30838-R2V5K3;1;1;20150106;1;1;20150119;3;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;22446802;0;2; ;13126109;0;13146;ESC.INDUSTRIAL SALESIANA CRISTO REDENTOR;3;31;3101;COPIAPÓ;3;3;5;3
2015;CAS-30840-Q2J1L3;1;1;20150106;1;1;20150703;13;3;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO DE ADULTO A PÁRVULO Y/O ESTUDIANTE;18646810;0;2; ;3434797;0;9614;ESCUELA BASICA KARELMAPU;13;131;13131;SAN RAMÓN;2;1;2;13
2015;CAS-30842-G8T4L7;1;1;20150106;1;1;20150116;2;1;GESTIÓN DE RECURSOS FINANCIEROS;COBROS EN ESTABLECIMIENTOS SUBVENCIONADOS O QUE RECIBEN APORTES DEL ESTADO;COBROS ADICIONALES Y/O EXIGENCIAS EN ESPECIES (MATERIALES DE ASEO DE USO GENERAL, DE OFICINA, DISFRAZ, VESTUARIO BAILE, RIFAS, OTRO);6924849;0;2; ;17322396;0;283;LICEO TECNICO DE ANTOFAGASTA;2;21;2101;ANTOFAGASTA;1;1;7;2
2015;CAS-30843-B2Q5R2;1;1;20150106;1;1;20150130;7;2;GESTIÓN TÉCNICO-ADMINISTRATIVA;REGISTRO DE ASISTENCIA DE PÁRVULOS Y/O ESTUDIANTES;IRREGULARIDADES EN EL REGISTRO DE ASISTENCIA DE PÁRVULOS Y/O ESTUDIANTES;25846098;1;2; ;25846098;0;2865;ESCUELA AGRICOLA SUPERIOR DE MOLINA;7;73;7304;MOLINA;5;5;2;7
2015;CAS-30844-S3X5H8;1;1;20150106;1;1;20150211;5;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;9064494;0;2;PADRE/MADRE/TUTOR;21323996;0;14284;LICEO RENE DESCARTES;5;51;5109;VIÑA DEL MAR;3;3;5;5
2015;CAS-30846-X5T7G9;1;1;20150106;1;1;20150430;7;2;GESTIÓN TÉCNICO-ADMINISTRATIVA;REGISTRO DE ASISTENCIA DE PÁRVULOS Y/O ESTUDIANTES;IRREGULARIDADES EN EL REGISTRO DE ASISTENCIA DE PÁRVULOS Y/O ESTUDIANTES;25846098;1;2; ;25846098;0;2839;ESCUELA PRESIDENTE EDUARDO FREI MONTALVA;7;73;7304;MOLINA;2;1;2;7
2015;CAS-30847-X5Y0D7;1;1;20150106;1;1;20150130;7;2;GESTIÓN TÉCNICO-ADMINISTRATIVA;REGISTRO DE ASISTENCIA DE PÁRVULOS Y/O ESTUDIANTES;IRREGULARIDADES EN EL REGISTRO DE ASISTENCIA DE PÁRVULOS Y/O ESTUDIANTES;25846098;1;2; ;25846098;0;2840;ESCUELA SUPERIOR DE NINAS DE MOLINA;7;73;7304;MOLINA;2;1;2;7
2015;CAS-30848-Y1C9B3;1;1;20150106;1;1;20150130;7;2;GESTIÓN TÉCNICO-ADMINISTRATIVA;REGISTRO DE ASISTENCIA DE PÁRVULOS Y/O ESTUDIANTES;IRREGULARIDADES EN EL REGISTRO DE ASISTENCIA DE PÁRVULOS Y/O ESTUDIANTES;25846098;1;2; ;25846098;0;2843;ESCUELA EL PROGRESO;7;73;7304;MOLINA;2;1;2;7
2015;CAS-30849-Z1L5V2;1;1;20150106;1;1;20150130;7;2;GESTIÓN TÉCNICO-ADMINISTRATIVA;REGISTRO DE ASISTENCIA DE PÁRVULOS Y/O ESTUDIANTES;IRREGULARIDADES EN EL REGISTRO DE ASISTENCIA DE PÁRVULOS Y/O ESTUDIANTES;25846098;1;2; ;25846098;0;2845;ESCUELA SAN PEDRO DE MOLINA;7;73;7304;MOLINA;2;1;2;7
2015;CAS-30850-D6J0T8;1;1;20150106;1;1;20150130;7;2;GESTIÓN TÉCNICO-ADMINISTRATIVA;REGISTRO DE ASISTENCIA DE PÁRVULOS Y/O ESTUDIANTES;IRREGULARIDADES EN EL REGISTRO DE ASISTENCIA DE PÁRVULOS Y/O ESTUDIANTES;25846098;1;2; ;25846098;0;2847;ESCUELA CASA BLANCA;7;73;7304;MOLINA;2;1;2;7
2015;CAS-30851-V0B9R7;1;1;20150106;1;1;20150130;7;2;GESTIÓN TÉCNICO-ADMINISTRATIVA;REGISTRO DE ASISTENCIA DE PÁRVULOS Y/O ESTUDIANTES;IRREGULARIDADES EN EL REGISTRO DE ASISTENCIA DE PÁRVULOS Y/O ESTUDIANTES;25846098;1;2; ;25846098;0;2848;ESCUELA QUECHEREGUAS DE PICHINGAL;7;73;7304;MOLINA;2;1;2;7
2015;CAS-30852-Q6M3V6;1;1;20150106;1;1;20150527;13;2;ADMISIÓN;PROCESO DE ADMISIÓN;ESTABLECIMIENTO NO INFORMA O NO PUBLICA EL PROCEDIMIENTO DE SELECCIÓN, LOS RESULTADOS O EL REGISTRO PÚBLICO DE PÁRVULOS Y/O ESTUDIANTES ADMITIDOS (MEDIOS ELECTRÓNICOS, FOLLETOS O MURALES PÚBLICOS);19438356;0;2;PADRE/MADRE/TUTOR;19362759;0;25418;COLEGIO POLIV. SAN BERNARDO ABAD;13;134;13401;SAN BERNARDO;3;3;7;13
2015;CAS-30853-D4D4X4;1;1;20150106;1;1;20150810;7;3;GESTIÓN TÉCNICO-ADMINISTRATIVA;REGISTRO DE ASISTENCIA DE PÁRVULOS Y/O ESTUDIANTES;IRREGULARIDADES EN EL REGISTRO DE ASISTENCIA DE PÁRVULOS Y/O ESTUDIANTES;25846098;1;2;DEPTO. PROVINCIAL;25846098;0;11323;ESCUELA REINO DE DINAMARCA;7;73;7304;MOLINA;2;1;2;7
2015;CAS-30854-V5P2W7;1;1;20150106;1;1;20150130;7;2;GESTIÓN TÉCNICO-ADMINISTRATIVA;REGISTRO DE ASISTENCIA DE PÁRVULOS Y/O ESTUDIANTES;IRREGULARIDADES EN EL REGISTRO DE ASISTENCIA DE PÁRVULOS Y/O ESTUDIANTES;25846098;1;2; ;25846098;0;2747;ESCUELA SAN ANTONIO;7;73;7301;CURICÓ;2;1;2;7
2015;CAS-30855-P9T4G4;1;1;20150106;1;1;20150130;7;2;GESTIÓN TÉCNICO-ADMINISTRATIVA;REGISTRO DE ASISTENCIA DE PÁRVULOS Y/O ESTUDIANTES;IRREGULARIDADES EN EL REGISTRO DE ASISTENCIA DE PÁRVULOS Y/O ESTUDIANTES;25846098;1;2; ;25846098;0;2761;ESCUELA LA OBRA;7;73;7301;CURICÓ;2;1;2;7
2015;CAS-30857-F2X5D5;1;1;20150106;1;1;20150121;3;1;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO DE ADULTO A PÁRVULO Y/O ESTUDIANTE;4764429;0;2; ;2355645;0;417;COLEGIO BUEN PASTOR;3;31;3101;COPIAPÓ;2;1;2;3
2015;CAS-30858-Q1J0C4;1;1;20150106;1;1;20150123;7;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;6618634;0;2; ;23182138;0;16676;LICEO COMPLEJO EDUCACIONAL JAVIERA CARRERA;7;71;7101;TALCA;2;1;2;7
2015;CAS-30862-S8X3K6;1;1;20150106;1;1;20150527;13;2;GESTIÓN DE RECURSOS FINANCIEROS;OBLIGACIONES PREVISIONALES Y/O PAGO DE REMUNERACIONES DE PERSONAL DEL ESTABLECIMIENTO;INCUMPLIMIENTO DE OBLIGACIONES PREVISIONALES Y/O PAGO DE REMUNERACIONES DE PERSONAL DEL ESTABLECIMIENTO;12236598;1;1;DOCENTE;12236598;0;25417;ESCUELA PARTICULAR 1788 EDEN DE SAN RAMON;13;131;13131;SAN RAMÓN;3;3;4;13
2015;CAS-30863-J3N9B9;1;1;20150106;1;1;20150130;7;2;GESTIÓN TÉCNICO-ADMINISTRATIVA;REGISTRO DE ASISTENCIA DE PÁRVULOS Y/O ESTUDIANTES;IRREGULARIDADES EN EL REGISTRO DE ASISTENCIA DE PÁRVULOS Y/O ESTUDIANTES;25846098;1;2; ;25846098;0;16754;LICEO ARTURO ALESSANDRI PALMA;7;73;7306;ROMERAL;2;1;2;7
2015;CAS-30864-R7K4S8;1;1;20150106;1;1;20150512;13;2;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;4710026;0;2;APODERADO/A;13066296;0;10610;COLEGIO SAN JOSE;13;134;13401;SAN BERNARDO;3;3;2;13
