AGNO;DEN_ID;DEN_CANAL;DEN_ESTADO;DEN_FEC_CREACION;DEN_MES_CREACION;DEN_TRIMESTRE_CREACION;DEN_FEC_TERMINO_DENUNCIA;DEN_OFICINA;DEN_DEPARTAMENTO;DEN_AMBITO;DEN_TEMA;DEN_SUBTEMA;FIS_ID;FIS_ID_SEGUIMIENTO;PA_ID;DEN_MRUN;DEN_AFECTADO;DEN_SEXO;DEN_TIPO;AFEC_MRUN;AFEC_SEXO;AFEC_TIPO;RBD;RSIE;EE_NOMBRE;EE_COD_REGION;EE_COD_PROVINCIA;EE_COD_COMUNA;EE_NOM_COMUNA;EE_COD_DEPE;EE_DEPE_AGRUP;AFEC_COD_ENSE2;DEN_REGION;DEN_CIBERBULLYING
2021;CAS-01803-M5S7S2;2;1;20211101;11;4;20211119;10;1;CONVIVENCIA;DISCRIMINACIÓN;DISCRIMINACIÓN POR OTROS MOTIVOS; ; ; ;6250353;0;1;APODERADO(A) / PADRE O MADRE / TUTOR(A);810440;2;ESTUDIANTE;22236;105989;BLAS PASCAL SCHOOL;10;103;10301;OSORNO;3;3;5;10; 
2021;CAS-01806-W0N9S1;1;1;20211102;11;4;20211129;11;1;GESTIÓN TÉCNICO-PEDAGÓGICA;CLASES DE RELIGIÓN;OBLIGACIÓN DE ASISTIR A CLASES DE RELIGIÓN NO AUTORIZADA POR EL APODERADO; ; ; ;20930680;1;1;APODERADO(A) / PADRE O MADRE / TUTOR(A);20930680;1;APODERADO(A) / PADRE O MADRE / TUTOR(A);24206;106183;CENTRO INTEGRAL DE EDUCACIÓN ALBORADA;11;111;11101;COYHAIQUE;3;3;0;11; 
2021;CAS-01810-C7M1L8;1;1;20211102;11;4;20211115;1;1;ENTREGA DEL SERVICIO EDUCATIVO EN EMERGENCIA SANITARIA POR COVID-2019;RESPECTO DE LAS MEDIDAS PARA ATENDER PÁRVULOS Y ESTUDIANTES, PRESENCIAL O A DISTANCIA, EN EMERGENCIA SANITARIA;IRREGULARIDADES EN LA ENTREGA DEL SERVICIO EDUCATIVO A PÁRVULOS Y/O ESTUDIANTES MEDIANTE MODALIDAD REMOTA DURANTE LA EMERGENCIA SANITARIA; ; ; ;727663;1;1;APODERADO(A) / PADRE O MADRE / TUTOR(A);727663;1;APODERADO(A) / PADRE O MADRE / TUTOR(A);12675;104131;ESC. ESP. DE LENGUAJE MILLARAY;1;11;1107;ALTO HOSPICIO;3;3;0;1; 
2021;CAS-01811-N3Z3D3;1;1;20211102;11;4;20211116;5;1;GESTIÓN TÉCNICO-PEDAGÓGICA;REGLAMENTO DE EVALUACIÓN, CALIFICACIÓN Y PROMOCIÓN;IRREGULARIDADES EN EL PROCEDIMIENTO DE EVALUACIÓN Y CALIFICACIÓN DE LOS PÁRVULOS Y/O ESTUDIANTES; ; ; ;10164929;0;1;APODERADO(A) / PADRE O MADRE / TUTOR(A);3848002;2;OTRO TIPO DE CIUDADANO(A);1681;100666;COLEGIO REPUBLICA DE COLOMBIA;5;51;5109;VIÑA DEL MAR;1;1;0;5; 
2021;CAS-01812-N3P0Q5;1;1;20211102;11;4;20211126;9;1;GESTIÓN TÉCNICO-ADMINISTRATIVA;PERSONAL DEL ESTABLECIMIENTO EDUCATIVO;FALTA O AUSENCIA DEL PERSONAL DEL ESTABLECIMIENTO; ; ; ;22765999;0;1;APODERADO(A) / PADRE O MADRE / TUTOR(A);4923852;2;ESTUDIANTE;19954;105644;COLEGIO ESPECIAL DE TRASTORNOS DE LA COMUNICACION ORAL Nº 34, DOCKSTA;9;91;9102;CARAHUE;3;3;5;9; 
2021;CAS-01814-T2J7R7;1;1;20211102;11;4;20211110;13;1;CONVIVENCIA;DISCRIMINACIÓN;DISCRIMINACIÓN POR PROBLEMAS DE SALUD; ; ; ;18939437;0;1;APODERADO(A) / PADRE O MADRE / TUTOR(A);14122839;2;ESTUDIANTE;25265;106502;COLEGIO ANTIL MAWIDA;13;131;13109;LA CISTERNA;3;3;5;13; 
2021;CAS-01817-W6N1Z7;1;1;20211102;11;4;20220131;5;3;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO ENTRE ESTUDIANTES (EXCLUYE AL NIVEL PARVULARIO);210501902; ;210501902;8132133;0;1;APODERADO(A) / PADRE O MADRE / TUTOR(A);17268487;2;ESTUDIANTE;14720;104663;LICEO GASTRONOMIA Y TURISMO;5;58;5801;QUILPUÉ;1;1;7;5;0
2021;CAS-01819-Z2J1Y9;1;1;20211102;11;4;20220323;7;3;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO DE ADULTO A PÁRVULO Y/O ESTUDIANTE;220700002; ;220700002;22274332;0;1;APODERADO(A) / PADRE O MADRE / TUTOR(A);15341357;1;ESTUDIANTE;3189; ;ESCUELA TERESA CONSUELO;7;71;7102;CONSTITUCIÓN;2;1;2;7; 
2021;CAS-01821-N5W6G2;1;1;20211102;11;4;20211118;7;1;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO DE ADULTO A PÁRVULO Y/O ESTUDIANTE; ; ; ;22274332;0;1;APODERADO(A) / PADRE O MADRE / TUTOR(A);13066612;1;ESTUDIANTE;3165; ;LICEO CONSTITUCION;7;71;7102;CONSTITUCIÓN;2;1;5;7; 
2021;CAS-01826-K7R1C6;1;1;20211102;11;4;20211228;16;1;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO DE ADULTO A PÁRVULO Y/O ESTUDIANTE; ; ; ;18544353;1;1;APODERADO(A) / PADRE O MADRE / TUTOR(A);18544353;1;APODERADO(A) / PADRE O MADRE / TUTOR(A);17895;105438;COLEGIO SAN FERNANDO;16;161;16101;CHILLÁN;3;3;0;16; 
