AGNO;DEN_ID;DEN_CANAL;DEN_ESTADO;DEN_FEC_CREACION;DEN_MES_CREACION;DEN_TRIMESTRE_CREACION;DEN_FEC_TERMINO_DENUNCIA;DEN_OFICINA;DEN_DEPARTAMENTO;DEN_AMBITO;DEN_TEMA;DEN_SUBTEMA;FIS_ID;FIS_ID_SEGUIMIENTO;PA_ID;DEN_MRUN;DEN_AFECTADO;DEN_SEXO;DEN_TIPO;AFEC_MRUN;AFEC_SEXO;RBD;RSIE;EE_NOMBRE;EE_COD_REGION;EE_COD_PROVINCIA;EE_COD_COMUNA;EE_NOM_COMUNA;EE_COD_DEPE;EE_DEPE_AGRUP;AFEC_COD_ENSE2;DEN_REGION;DEN_CIBERBULLYING
2017;CAS-70558-L4Q9D2;1;1;20170103;1;1;20170619;2;3;GESTIÓN TÉCNICO-ADMINISTRATIVA;REGISTRO DE ASISTENCIA DE PÁRVULOS Y/O ESTUDIANTES;IRREGULARIDADES EN EL REGISTRO DE ASISTENCIA DE PÁRVULOS Y/O ESTUDIANTES;160200002; ;160200002; ;1;1;DIRECTOR REGIONAL (SIE);25846131;0;12885; ;COLEGIO SAN AGUSTIN;2;21;2101;ANTOFAGASTA;3;3;2;2; 
2017;CAS-70559-D3T2G1;1;1;20170103;1;1;20180130;8;3;CONVIVENCIA;DISCRIMINACIÓN;DISCRIMINACIÓN POR PROBLEMAS DE SALUD;170800673; ;170800673;13904344;0;2;APODERADO/A;23534933;1;3659; ;ESCUELA ARTURO MERINO BENITEZ;8;84;8401;CHILLÁN;2;1;1;8; 
2017;CAS-70560-H4C7N7;1;1;20170103;1;1;20171024;9;3;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO DE ADULTO A PÁRVULO Y/O ESTUDIANTE;170900260; ;170900260;20841257;0;2;APODERADO/A;8306372;2;6303; ;ESCUELA EGON ERNTS KEUTMANN BESGEN;9;91;9109;LONCOCHE;2;1;2;9; 
2017;CAS-70563-K6Y1H8;1;1;20170103;1;1;20170110;4;1;GESTIÓN DE RECURSOS FINANCIEROS;OBLIGACIONES PREVISIONALES Y/O PAGO DE REMUNERACIONES DE PERSONAL DEL ESTABLECIMIENTO;INCUMPLIMIENTO DE OBLIGACIONES PREVISIONALES Y/O PAGO DE REMUNERACIONES DE PERSONAL DEL ESTABLECIMIENTO; ; ; ;22463004;1;2;DOCENTE;22463004;2;1099; ;ESCUELA VIOLETA PARRA;4;42;4202;CANELA;2;1;2;4; 
2017;CAS-70566-Z8B6D6;2;1;20170103;1;1;20170328;8;1;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO DE ADULTO A PÁRVULO Y/O ESTUDIANTE; ; ; ;21824752;0;1;APODERADO/A;13933542;2;11743; ;COLEGIO BASICO LOS LOBOS;8;81;8110;TALCAHUANO;2;1;2;8; 
2017;CAS-70567-G6L0Z8;2;1;20170103;1;1;20170227;13;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE; ; ; ;21618763;0;2;PADRE/MADRE/TUTOR;20529896;1;8877; ;COLEGIO DE LOS SAGRADOS CORAZONES;13;131;13132;VITACURA;4;4;2;13; 
2017;CAS-70569-Y6R0X7;2;1;20170103;1;1;20170105;5;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE; ; ; ;13532790;1;1;ESTUDIANTE;13532790;2;1515; ;LICEO EDUARDO DE LA BARRA;5;51;5101;VALPARAÍSO;1;1;5;5; 
2017;CAS-70570-S6K5P5;2;1;20170103;1;1;20170524;6;2;GESTIÓN DE RECURSOS FINANCIEROS;OBLIGACIONES PREVISIONALES Y/O PAGO DE REMUNERACIONES DE PERSONAL DEL ESTABLECIMIENTO;INCUMPLIMIENTO DE OBLIGACIONES PREVISIONALES Y/O PAGO DE REMUNERACIONES DE PERSONAL DEL ESTABLECIMIENTO; ; ; ;16464096;1;1;DOCENTE;16464096;2;2444; ;INSTITUTO COMERCIAL ALBERTO VALENZUELA LLANOS DE SAN FERNANDO;6;63;6301;SAN FERNANDO;1;1;7;6; 
2017;CAS-70572-C6N4J7;2;1;20170104;1;1;20170320;8;1;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO DE ADULTO A PÁRVULO Y/O ESTUDIANTE; ; ; ;3238124;1;2;APODERADO/A;3238124;2;11394; ;ESCUELA GABRIELA MISTRAL;8;81;8111;TOMÉ;2;1;2;8; 
2017;CAS-70574-R7L7F2;1;1;20170104;1;1;20170301;8;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE; ; ; ;1736108;0;2;APODERADO/A;22610505;1;4286; ;COLEGIO ALEMAN LOS ANGELES;8;83;8301;LOS ANGELES;4;4;1;8; 
